Pod Name,Type,Iteration,RAM,CPUS,Duration
ven2-backend-5f8554fc6d-5s4h9,demo.fastq,16,16Gi,6,91
ven5-backend-79b7f7dbf8-8cq7v,demo_75per.fastq,15,16Gi,6,67
ven8-backend-c8f9bf456-xcgxp,demo_75per.fastq,11,16Gi,6,70
ven4-backend-55c9bf6f8c-cvc9x,demo.fastq,19,8Gi,4,96
ven9-backend-cf779bf4c-66t8s,demo.fastq,18,32Gi,8,83
ven9-backend-cf779bf4c-66t8s,demo_25per.fastq,15,32Gi,8,35
ven3-backend-856cdd777f-wk4px,demo_75per.fastq,8,32Gi,8,71
ven10-backend-67c6475b55-bh6c6,demo_25per.fastq,5,8Gi,4,40
ven2-backend-5f8554fc6d-5s4h9,demo_50per.fastq,19,16Gi,6,58
ven1-backend-6f6564689-gxqlf,demo_25per.fastq,4,8Gi,4,34
scheduler-backend-79bbbdb9f9-9klc5,demo_25per.fastq,1,,,
ven3-backend-856cdd777f-wk4px,demo_50per.fastq,1,32Gi,8,52
ven8-backend-c8f9bf456-xcgxp,demo_50per.fastq,18,16Gi,6,51
ven5-backend-79b7f7dbf8-8cq7v,demo_50per.fastq,17,16Gi,6,51
ven6-backend-8c4c7995c-77qf7,demo_25per.fastq,2,32Gi,8,34
ven2-backend-5f8554fc6d-5s4h9,demo_75per.fastq,8,16Gi,6,81
ven3-backend-856cdd777f-wk4px,demo_25per.fastq,8,32Gi,8,34
ven1-backend-6f6564689-gxqlf,demo_75per.fastq,13,8Gi,4,74
ven5-backend-79b7f7dbf8-8cq7v,demo_25per.fastq,11,16Gi,6,28
ven5-backend-79b7f7dbf8-8cq7v,demo.fastq,9,16Gi,6,88
ven6-backend-8c4c7995c-77qf7,demo_50per.fastq,3,32Gi,8,53
ven3-backend-856cdd777f-wk4px,demo_75per.fastq,10,32Gi,8,71
ven6-backend-8c4c7995c-77qf7,demo_25per.fastq,10,32Gi,8,37
scheduler-backend-79bbbdb9f9-9klc5,demo_50per.fastq,19,,,
ven9-backend-cf779bf4c-66t8s,demo_75per.fastq,8,32Gi,8,68
scheduler-backend-79bbbdb9f9-9klc5,demo_75per.fastq,19,,,
ven6-backend-8c4c7995c-77qf7,demo_75per.fastq,16,32Gi,8,61
scheduler-backend-79bbbdb9f9-9klc5,demo.fastq,13,,,
ven7-backend-7487fcccb9-2pmsh,demo.fastq,14,8Gi,4,101
ven6-backend-8c4c7995c-77qf7,demo_25per.fastq,11,32Gi,8,32
ven3-backend-856cdd777f-wk4px,demo_75per.fastq,1,32Gi,8,60
ven3-backend-856cdd777f-wk4px,demo.fastq,1,32Gi,8,79
ven5-backend-79b7f7dbf8-8cq7v,demo_25per.fastq,6,16Gi,6,32
ven4-backend-55c9bf6f8c-cvc9x,demo_25per.fastq,11,8Gi,4,33
ven3-backend-856cdd777f-wk4px,demo_50per.fastq,3,32Gi,8,51
scheduler-backend-79bbbdb9f9-9klc5,demo.fastq,4,,,
ven2-backend-5f8554fc6d-5s4h9,demo.fastq,10,16Gi,6,89
ven7-backend-7487fcccb9-2pmsh,demo_50per.fastq,8,8Gi,4,53
ven2-backend-5f8554fc6d-5s4h9,demo_75per.fastq,7,16Gi,6,80
ven7-backend-7487fcccb9-2pmsh,demo_75per.fastq,14,8Gi,4,73
ven1-backend-6f6564689-gxqlf,demo.fastq,17,8Gi,4,90
ven4-backend-55c9bf6f8c-cvc9x,demo_25per.fastq,5,8Gi,4,34
ven3-backend-856cdd777f-wk4px,demo_75per.fastq,19,32Gi,8,74
ven3-backend-856cdd777f-wk4px,demo_75per.fastq,7,32Gi,8,70
ven6-backend-8c4c7995c-77qf7,demo_75per.fastq,1,32Gi,8,70
ven2-backend-5f8554fc6d-5s4h9,demo.fastq,15,16Gi,6,90
ven7-backend-7487fcccb9-2pmsh,demo_25per.fastq,20,8Gi,4,39
ven3-backend-856cdd777f-wk4px,demo_50per.fastq,14,32Gi,8,54
ven7-backend-7487fcccb9-2pmsh,demo.fastq,5,8Gi,4,90
ven8-backend-c8f9bf456-xcgxp,demo.fastq,20,16Gi,6,91
ven2-backend-5f8554fc6d-5s4h9,demo_50per.fastq,12,16Gi,6,57
ven8-backend-c8f9bf456-xcgxp,demo_50per.fastq,14,16Gi,6,51
scheduler-backend-79bbbdb9f9-9klc5,demo_50per.fastq,20,,,
ven8-backend-c8f9bf456-xcgxp,demo_25per.fastq,16,16Gi,6,34
ven10-backend-67c6475b55-bh6c6,demo_25per.fastq,2,8Gi,4,33
ven4-backend-55c9bf6f8c-cvc9x,demo.fastq,16,8Gi,4,90
ven1-backend-6f6564689-gxqlf,demo.fastq,9,8Gi,4,92
ven9-backend-cf779bf4c-66t8s,demo_50per.fastq,17,32Gi,8,52
ven3-backend-856cdd777f-wk4px,demo_50per.fastq,15,32Gi,8,49
ven9-backend-cf779bf4c-66t8s,demo.fastq,1,32Gi,8,85
ven9-backend-cf779bf4c-66t8s,demo_50per.fastq,7,32Gi,8,46
ven8-backend-c8f9bf456-xcgxp,demo.fastq,3,16Gi,6,89
ven10-backend-67c6475b55-bh6c6,demo_25per.fastq,18,8Gi,4,34
ven5-backend-79b7f7dbf8-8cq7v,demo.fastq,4,16Gi,6,86
ven1-backend-6f6564689-gxqlf,demo_50per.fastq,20,8Gi,4,61
scheduler-backend-79bbbdb9f9-9klc5,demo_75per.fastq,17,,,
ven4-backend-55c9bf6f8c-cvc9x,demo_75per.fastq,1,8Gi,4,70
ven2-backend-5f8554fc6d-5s4h9,demo.fastq,2,16Gi,6,91
ven2-backend-5f8554fc6d-5s4h9,demo_75per.fastq,15,16Gi,6,71
ven9-backend-cf779bf4c-66t8s,demo_25per.fastq,13,32Gi,8,31
